Title,Summary,Case ID,Episode ID,Argument Date
"Wisconsin Bell v. U.S., ex rel. Todd Heath, No. 23-1127 [Arg: 11.4.2024]",Whether reimbursement requests submitted to the Federal Communications Commission's E-rate program are “claims” under the False Claims Act.,23-1127,,11/4/2024
"Advocate Christ Medical Center v. Becerra, No. 23-715 [Arg: 11.5.2024]","Whether the phrase 'entitled ... to benefits,' used twice in the same sentence of the Medicare Act, means the same thing for Medicare part A and Supplemental Social Security benefits, such that it includes all who meet basic program eligibility criteria, whether or not benefits are actually received.",23-715,,11/5/2024
"E.M.D. Sales v. Carrera, No. 23-217 [Arg: 11.5.2024]",Whether the burden of proof that employers must satisfy to demonstrate the applicability of a Fair Labor Standards Act exemption is a mere preponderance of the evidence or clear and convincing evidence.,23-217,,11/5/2024
"Facebook v. Amalgamated Bank, No. 23-980 [Arg: 11.6.2024]","Whether risk disclosures are false or misleading when they do not disclose that a risk has materialized in the past, even if that past event presents no known risk of ongoing or future business harm.",23-980,,11/6/2024
"Velazquez v. Garland, No. 23-929 [Arg: 11.12.2024]","Whether, when a noncitizen's voluntary-departure period ends on a weekend or public holiday, a motion to reopen filed the next business day is sufficient to avoid the penalties for failure to depart under 8 U.S.C. § 1229c(d)(1).",23-929,,11/12/2024
"Delligatti v. U.S., No. 23-825 [Arg: 11.12.2024]","Whether a crime that requires proof of bodily injury or death, but can be committed by failing to take action, has as an element the use, attempted use, or threatened use of physical force.",23-825,,11/12/2024
"NVIDIA Corp. v. E. Ohman J:or Fonder AB, No. 23-970 [Arg: 11.13.2024]",(1) Whether plaintiffs seeking to allege scienter under the Private Securities Litigation Reform Act based on allegations about internal company documents must plead with particularity the contents of those documents; and (2) whether plaintiffs can satisfy the Act's falsity requirement by relying on an expert opinion to substitute for particularized allegations of fact.,23-970,,11/13/2024
"Food and Drug Administration v. Wages and White Lion Investments, LLC, No. 23-1038 [Arg: 12.2.2024]",Whether the court of appeals erred in setting aside the Food and Drug Administration’s orders denying respondents’ applications for authorization to market new e-cigarette products as arbitrary and capricious.,23-1038,,12/2/2024
"U.S. v. Miller, No. 23-824 [Arg: 12.2.2024]",Whether a bankruptcy trustee may avoid a debtor’s tax payment to the United States under 11 U.S.C. § 544(b) when no actual creditor could have obtained relief under the applicable state fraudulent-transfer law outside of bankruptcy.,23-824,,12/2/2024
"Republic of Hungary v. Simon, No. 23-867 [Arg: 12.3.2024]","(1) Whether historical commingling of assets suffices to establish that proceeds of seized property have a commercial nexus with the United States under the expropriation exception to the Foreign Sovereign Immunities Act; (2) whether a plaintiff must make out a valid claim that an exception to the FSIA applies at the pleading stage, rather than merely raising a plausible inference; and (3) whether a sovereign defendant bears the burden of producing evidence to affirmatively disprove that the proceeds of property taken in violation of international law have a commercial nexus with the United States under the expropriation exception to the FSIA.",23-867,,12/3/2024
"U.S. v. Skrmetti, No. 23-477 [Arg: 12.4.2024]","Whether Tennessee Senate Bill 1, which prohibits all medical treatments intended to allow 'a minor to identify with, or live as, a purported identity inconsistent with the minor’s sex' or to treat 'purported discomfort or distress from a discordance between the minor’s sex and asserted identity,' violates the equal protection clause of the 14th Amendment.",23-477,,12/4/2024
"Kousisis v. U.S., No. 23-909 [Arg: 12.9.2024]","(1) Whether deception to induce a commercial exchange can constitute mail or wire fraud, even if inflicting economic harm on the alleged victim was not the object of the scheme; (2) whether a sovereign’s statutory, regulatory, or policy interest is a property interest when compliance is a material term of payment for goods or services; and (3) whether all contract rights are 'property.'",23-909,,12/9/2024
"Feliciano v. Department of Transportation, No. 23-861 [Arg: 12.9.2024]",Whether a federal civilian employee called or ordered to active duty under a provision of law during a national emergency is entitled to differential pay even if the duty is not directly connected to the national emergency.,23-861,,12/9/2024
